fname,fprod,pi_name,s_site,l_area,date,team,drone_v,rgb_v,ms_v,f_start,f_stop,f_alt,f_spd,f_flap,f_slap,wx,proc,klau,klau_base,flag
Fetcher_ToolikBurn_250905,"""Z:\2025_Work\UAS_Processing\Fetcher_Ned\Fetcher_ToolikBurn_250905\1_Products""",Ned Fetcher,2015 Experimental Burn,Toolik Lake Area ,250905,RF Rd ,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,,15:37,16:22,50,2.5,80,80,cloudy,Rd,TRUE,TLK2,two flights identical except before and after the 4pm mark and 90cm off in the vert
Guglielimin_Large_110_x7_Mica_250903,"""Z:\2025_Work\UAS_Processing\Guglielmin_Mauro\Guglielimin_Large_110_x7_Mica_250903\1_Products""",Mauro Guglielmin,Insubria study site,Toolik Lake Area ,250903,Rd RF,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,15:02,16:15,110,5.6,80,80,partly cloudy,Rd,TRUE,TLK2,bad klau in F1 and stairstep artifcat in northwest corner where flights aligned
Guglielmin_Insubria_50m_250711,"""Z:\2025_Work\UAS_Processing\Guglielmin_Mauro\Guglielmin_Insubria_50m_250711\1_Products""",Mauro Guglielmin,Insubria study site,Toolik Lake Area ,250711,AC Rd RF,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,10:00,11:00,50,2.5,80,80,sunny,Rd,TRUE,TLK2,
Guglielmin_Toolik_South_x7_Micasense__250620,"""Z:\2025_Work\UAS_Processing\Guglielmin_Mauro\Guglielmin_Toolik_South_x7_Micasense__250620\1_Products""",Mauro Guglielmin,Insubria study site,Toolik Lake Area ,250620,Rd JN,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,11:46,12:26,110,5.6,80,80,partly cloudy,JN,TRUE,TLK2,
Gugliemin_Toolik_Micasense_50m_250630,"""Z:\2025_Work\UAS_Processing\Guglielmin_Mauro\Gugliemin_Toolik_Micasense_50m_250630\1_Products""",Mauro Guglielmin,Insubria study site,Toolik Lake Area ,250630,RF JN,DJI Matrice 210 v2,,Micasense RedEdge-MX,16:25,17:17,50,2.5,80,80,partly cloudy,Rd,,,no kalur or rgb for this flight and would not point aligned so markeraligned to 250711 ultimately think it was ok but uneven lighting in ortho
Gugliemin_Toolik_x7_110m_250701,"""Z:\2025_Work\UAS_Processing\Guglielmin_Mauro\Gugliemin_Toolik_x7_110m_250701\1_Products""",Mauro Guglielmin,Insubria study site,Toolik Lake Area ,250701,RF JN,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,,11:23,12:11,110,5.6,80,80,sunny,Rd,TRUE,TLK2,
Iwahana_HappyValley_250719,"""Z:\2025_Work\UAS_Processing\Iwahana_Go\Iwahana_HappyValley_250719\1_Products""",Go Iwahana,Happy Valley,North Slope,250719,Rd AC JN,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,14:23,15:13,60,3,80,80,sunny,AC Rd,TRUE,Happy Valley,
Iwahana_HappyValley_250906,"""Z:\2025_Work\UAS_Processing\Iwahana_Go\Iwahana_HappyValley_250906\1_Products""",Go Iwahana,Happy Valley,North Slope,250906,Rd RF SS,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,15:50,16:31,60,3,80,80,sunny,Rd,TRUE,Happy Valley, 
Iwahana_IceCut_250719,"""Z:\2025_Work\UAS_Processing\Iwahana_Go\Iwahana_IceCut_250719\1_Products""",Go Iwahana,Ice Cut,North Slope,250719,AC JN Rd,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,10:53,12:13,60,3,80,80,sunny,JN ,TRUE,Ice Cut,
Iwahana_IceCut_250906,"""Z:\2025_Work\UAS_Processing\Iwahana_Go\Iwahana_IceCut_250906\1_Products""",Go Iwahana,Ice Cut,North Slope,250906,Rd RF SS,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,13:00,14:34,60,3,80,80,sunny,Rd,TRUE,Ice Cut,
Iwahana_Sagwon_250723,"""Z:\2025_Work\UAS_Processing\Iwahana_Go\Iwahana_Sagwon_250723\1_Products""",Go Iwahana,Sagwon,North Slope,250723,Rd AC JN ,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,13:58,15:02,60,3,80,80,cloudy,AC Rd,TRUE,Sagwon,
Oberbauer_Imnavait_250716,"""Z:\2025_Work\UAS_Processing\Oberbauer_Steve\Oberbauer_Imnavait_250716\1_Products""",Steve Oberbauer,Imnavait,Toolik Lake Area ,250716,Rd AC RF JN,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,10:50,12:31,70,3.5,80,80,partly cloudy,JN,TRUE,Imnavait ,
Oberbauer_Toolik_MAT_Hill_250711,"""Z:\2025_Work\UAS_Processing\Oberbauer_Steve\Oberbauer_Toolik_MAT_Hill_250711\1_Products""",Steve Oberbauer,Moist Acidic Tundra snowfences,Toolik Lake Area ,250711,Rd RF AC,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,13:20,15:06,70,3.5,80,80,sunny,AC Rd,TRUE,TLK2,
Rocha_Unburn_250726,"""Z:\2025_Work\UAS_Processing\Rocha_Adrian\Unburn\1_Products""",Adrian Rocha,LTREB Unburned Plots,Anaktuvuk Burn,250726,AC Rd,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,11:50,,35,1.7,80,80,,JN,,,Point-based align to 2023 x7
